AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M,W1W2,W2W3,W3W4,anomaly_score,isolation_score
J221330.18-033720.7,333.3757626,-3.6224296,Im,17.734,0.254,15.191,0.091,10.032,0.065,7.657,0.189,,,,,,,0000,0,nn0n,219.0,971.0,-1518.0,1037.0,BAAB,,2M,2.543000000000001,5.159000000000001,2.375,1,-0.7699731876125528
J060247.22-045356.4,90.6967821,-4.8990148,Im,18.367,,16.522,,11.206,0.143,8.869,0.433,,,,,,,0000,0,nnnn,4284.0,5344.0,-3257.0,5858.0,UUBC,,2M,1.8450000000000024,5.315999999999999,2.3369999999999997,1,-0.7691021362227246
J100631.77-043727.5,151.6323963,-4.6243104,Im,18.741,,16.107,,11.065,0.184,8.572,,,,,,,,0000,0,nnnn,4753.0,3743.0,2646.0,4141.0,UUBU,,2M,2.6340000000000003,5.042,2.4930000000000003,1,-0.7596242982603435
J220436.67-044434.0,331.1528058,-4.7427991,Im,18.304,,16.321,0.255,10.849,0.12,8.019,0.265,,,,,,,0000,0,nn0n,1472.0,3210.0,1684.0,3636.0,UBBB,,2M,1.982999999999997,5.472000000000001,2.83,1,-0.7571080384160978
J060235.37-044945.7,90.647392,-4.8293612,Im,16.346,0.075,14.499,0.05,10.4,0.075,8.439,0.305,,,,,,,0000,0,111n,-10.0,436.0,-54.0,486.0,AAAB,,2M,1.8469999999999995,4.099,1.9610000000000003,1,-0.7557487357961513
J020435.47-044922.2,31.1478052,-4.8228348,Im,16.944,0.096,15.051,0.069,10.979,0.099,8.416,0.251,,,,,,,0000,0,n00n,787.0,390.0,-151.0,419.0,AAAB,,2M,1.892999999999999,4.072000000000001,2.562999999999999,1,-0.7363172300205199
J140655.85-042037.8,211.7327262,-4.3438507,Im,17.848,0.202,16.104,0.196,12.101,,9.353,,,,,,,,0000,0,nnnn,1157.0,1329.0,898.0,1459.0,BBUU,,2M,1.7439999999999998,4.002999999999998,2.748000000000001,1,-0.7250494638307303
J220323.89-045217.0,330.8495464,-4.8714016,Im,17.135,0.145,15.193,0.097,11.106,0.156,8.268,0.317,,,,,,,0000,0,nnnn,206.0,1027.0,139.0,1110.0,BABB,,2M,1.942000000000002,4.087,2.837999999999999,1,-0.7188055492932337
J060152.13-044729.0,90.4672143,-4.7914109,Im,18.345,0.4,17.039,,11.361,0.172,8.68,0.506,,,,,,,0000,0,nnnn,-3686.0,5332.0,2775.0,6022.0,CUBC,,2M,1.3059999999999974,5.678000000000001,2.681000000000001,1,-0.7114098268085784
J100342.67-043603.0,150.927811,-4.6008421,Im,18.653,,16.27,0.219,12.244,,9.159,,,,,,,,0000,0,nnnn,1405.0,3945.0,640.0,4321.0,UBUU,,2M,2.382999999999999,4.026,3.084999999999999,1,-0.709016735708824
