region,page,ra_centroid,dec_centroid,n_apparitions,predicted_class,prob_null,prob_transient,prob_continuous_variable,catalog_status,confidence,in_vsx,in_simbad,still_unlisted
allsky,tile1,63.35254782999999,-88.43113949,10,continuous_variable,3.9634637793994914e-09,2.787225117373282e-09,1.0,new,1.0,False,False,True
allsky,tile1,65.10726488888889,-89.02245607777778,9,continuous_variable,2.667617238216735e-08,4.086215454890407e-08,1.0,new,1.0,False,False,True
allsky,tile1,74.23568796363637,-88.70694930909092,11,continuous_variable,4.628079253166106e-09,1.2189224740666305e-08,1.0,new,1.0,False,False,True
allsky,tile4,166.38236333000003,-89.11877531,10,continuous_variable,3.2360528479102875e-08,2.8646988781133593e-08,1.0,new,1.0,False,False,True
allsky,tile1,53.69914938666667,-88.42910864000001,15,continuous_variable,1.0779854342501949e-08,1.0833631769457952e-08,1.0,new,1.0,False,False,True
allsky,tile1,74.24099413750001,-88.7068348,8,continuous_variable,1.3946808152809351e-09,3.5561508598958014e-11,1.0,new,1.0,False,False,True
allsky,tile0,12.9767754375,-88.604069175,8,continuous_variable,2.6464611058152343e-10,4.928469854448281e-10,1.0,new,1.0,False,False,True
allsky,tile1,77.5712996125,-88.55825036249999,8,continuous_variable,6.147720110760701e-09,1.6949066150573344e-08,1.0,new,1.0,False,False,True
allsky,tile1,57.2784724375,-88.4087108625,8,continuous_variable,9.908711184891672e-09,2.3774115121000253e-08,1.0,new,1.0,False,False,True
allsky,tile1,54.979397725,-88.43749883749999,8,continuous_variable,1.6445875772319596e-08,5.906340416750311e-10,1.0,new,1.0,False,False,True
allsky,tile2,80.79067196363636,-88.12031462727272,11,continuous_variable,9.190877392484254e-09,1.1495621343726724e-08,1.0,new,1.0,False,False,True
allsky,tile4,164.69910727647058,-88.12222365294119,17,continuous_variable,1.417202605269452e-10,1.4727479236142922e-09,1.0,new,1.0,False,False,True
allsky,tile1,54.90853013636363,-88.42874886363637,11,continuous_variable,3.346439569895665e-08,5.826100846206828e-08,1.0,new,1.0,False,False,True
allsky,tile1,67.33262768461539,-88.18140805384616,13,continuous_variable,9.237655640426111e-10,2.0049915061548518e-09,1.0,new,1.0,False,False,True
allsky,tile0,17.1043841625,-88.76787971249999,8,continuous_variable,1.1727406601380608e-08,3.207574872376994e-09,1.0,new,1.0,False,False,True
allsky,tile0,19.28512537777777,-88.82258444444443,9,continuous_variable,8.690095171237644e-11,2.44476772159885e-10,1.0,new,1.0,False,False,True
allsky,tile4,160.6574095125,-88.8446354375,8,continuous_variable,1.365120017027266e-09,1.6188150819829161e-09,1.0,new,1.0,False,False,True
allsky,tile3,148.87036963333333,-89.09046585555555,9,continuous_variable,2.7102878163987043e-08,2.0065151318249264e-08,1.0,new,1.0,False,False,True
allsky,tile2,82.6637937,-88.07050318750001,8,continuous_variable,9.539314867537674e-13,3.99088010902271e-12,1.0,new,1.0,False,False,True
allsky,tile3,148.0003938625,-89.08021199999999,8,continuous_variable,5.546655135191258e-09,2.879280991407996e-08,1.0,new,1.0,False,False,True
allsky,tile2,81.84145581111112,-88.52502223333333,9,continuous_variable,1.9863097833194843e-09,2.158822454134679e-09,1.0,new,1.0,False,False,True
allsky,tile2,117.46231144545456,-88.65896522727273,11,continuous_variable,3.6596439767500044e-10,1.748691191849616e-09,1.0,new,1.0,False,False,True
allsky,tile2,96.459197825,-88.3112055375,8,continuous_variable,1.8504901777571803e-10,1.031189689193468e-09,1.0,new,1.0,False,False,True
allsky,tile2,110.8642739375,-88.26582823749999,8,continuous_variable,3.49619022621539e-09,2.135337595632336e-08,1.0,new,1.0,False,False,True
allsky,tile1,50.83853670909091,-88.22964377272727,11,continuous_variable,1.7147442354925602e-09,2.7100228727761078e-09,1.0,new,1.0,False,False,True
allsky,tile2,100.67294412857142,-89.06582550714286,14,continuous_variable,2.224139275530668e-11,3.124155795175554e-11,1.0,new,1.0,False,False,True
allsky,tile1,42.07506888,-88.17723956,10,continuous_variable,4.9945850122412594e-08,1.1188892035107756e-09,1.0,new,1.0,False,False,True
allsky,tile1,40.82586105555555,-88.01828246666668,9,continuous_variable,2.3939337623346546e-08,5.30573140977708e-10,1.0,new,1.0,False,False,True
allsky,tile3,152.4379385625,-88.29465275,8,continuous_variable,1.2725215325914974e-09,2.559679401770154e-08,1.0,new,1.0,False,False,True
allsky,tile3,136.44046366,-88.71221365,10,continuous_variable,1.9385741012456492e-08,1.964686724420517e-08,1.0,new,1.0,False,False,True
allsky,tile4,160.5181666,-88.65727482222222,9,continuous_variable,1.0305497255558298e-07,1.5331288238940033e-08,0.9999998807907104,new,0.9999998807907104,False,False,True
