AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M,W1W2,W2W3,predicted_type,confidence
J015055.12-042644.7,27.7296901,-4.4457597,Im,17.621,0.193,16.81,0.375,12.662,,8.512,,,,,,,,0000,0,nnnn,2409.0,2338.0,1413.0,2472.0,BCUU,,2M,0.8109999999999999,4.147999999999998,nnnn,1.0
J015053.42-042636.4,27.7226242,-4.4434719,Im,17.685,0.215,16.784,,12.186,,8.856,,,,,,,,0000,0,nnnn,819.0,2506.0,3404.0,2580.0,BUUU,,2M,0.9009999999999998,4.597999999999999,nnnn,1.0
J015046.24-042453.2,27.6926771,-4.4147961,Im,17.419,0.167,16.862,0.378,12.443,,8.904,0.49,,,,,,,0000,0,nnnn,3672.0,1842.0,1832.0,1910.0,BCUC,,2M,0.5570000000000022,4.418999999999999,nnnn,1.0
J015044.88-042433.5,27.6870041,-4.4093305,Im,17.529,0.193,16.682,0.346,12.429,,9.099,,,,,,,,0000,0,nnnn,537.0,1923.0,3044.0,2034.0,BBUU,,2M,0.8470000000000013,4.252999999999998,nnnn,0.99
J015048.69-042540.7,27.702877,-4.4279889,Im,17.032,0.119,16.359,0.294,12.023,,8.966,,,,,,,,0000,0,nnnn,39.0,1378.0,496.0,1419.0,BBUU,,2M,0.6729999999999983,4.336000000000002,nnnn,1.0
J015043.82-042446.8,27.6825846,-4.4130036,Im,17.619,0.195,16.712,0.328,12.33,,8.813,,,,,,,,0000,0,nnnn,-1548.0,2342.0,-1.0,2440.0,BBUU,,2M,0.907,4.382,nnnn,1.0
J015036.72-042438.5,27.6530184,-4.4107119,Im,17.571,0.189,16.983,0.473,12.473,0.499,8.253,,,,,,,,0000,0,nnnn,-1728.0,2168.0,173.0,2329.0,BCCU,,2M,0.588000000000001,4.51,nnnn,1.0
J015031.43-042306.1,27.6309947,-4.3850535,Im,17.241,0.139,16.635,,12.178,,8.904,,,,,,,,0000,0,nnnn,-170.0,1716.0,838.0,1792.0,BUUU,,2M,0.6059999999999981,4.457000000000001,nnnn,1.0
J015034.81-042344.0,27.6450711,-4.3955579,Im,17.187,0.136,16.469,,11.871,,8.849,,,,,,,,0000,0,nnnn,384.0,1717.0,1524.0,1788.0,BUUU,,2M,0.718,4.598000000000001,nnnn,1.0
J015030.94-042251.0,27.6289231,-4.3808594,Im,17.276,0.147,16.595,,12.468,,8.861,,,,,,,,0000,0,nnnn,2232.0,1667.0,-362.0,1789.0,BUUU,,2M,0.6810000000000009,4.126999999999999,nnnn,1.0
J015033.54-042258.9,27.6397762,-4.3830347,Im,17.425,0.159,16.784,0.354,12.431,,8.408,,,,,,,,0000,0,nnnn,-2418.0,1899.0,2577.0,1981.0,BBUU,,2M,0.6410000000000018,4.353,nnnn,0.99
J015024.71-042246.5,27.6029735,-4.3796055,Im,17.799,0.215,16.473,0.263,11.962,,8.703,,,,,,,,0000,0,nnnn,-552.0,2286.0,-1383.0,2453.0,BBUU,,2M,1.3260000000000005,4.510999999999999,nnnn,1.0
J015023.02-042303.2,27.5959406,-4.384243,Im,17.716,0.2,16.77,,12.418,,8.571,,,,,,,,0000,0,nnnn,-5317.0,2396.0,803.0,2578.0,BUUU,,2M,0.9460000000000015,4.352,nnnn,1.0
J015033.34-042211.4,27.6389219,-4.3698431,Im,17.554,0.167,16.628,0.291,12.37,,8.259,,,,,,,,0000,0,nnnn,-3049.0,1764.0,850.0,1906.0,BBUU,,2M,0.9259999999999984,4.258000000000001,nnnn,0.99
J015031.30-042142.7,27.6304528,-4.361879,Im,17.852,0.219,16.616,,12.588,,8.909,,,,,,,,0000,0,nnnn,-200.0,2396.0,2832.0,2647.0,BUUU,,2M,1.2360000000000007,4.0280000000000005,nnnn,0.99
J015021.75-042152.5,27.5906481,-4.3645956,Im,17.554,0.18,16.747,0.315,12.586,,8.872,,,,,,,,0000,0,nnnn,1290.0,1892.0,-946.0,2026.0,BBUU,,2M,0.8069999999999986,4.161,nnnn,1.0
J015017.44-042144.4,27.5726871,-4.3623345,Im,17.286,0.136,16.627,,12.31,,9.04,,,,,,,,0000,0,nnnn,511.0,1525.0,-579.0,1690.0,BUUU,,2M,0.6590000000000025,4.316999999999998,nnnn,1.0
J015024.69-042019.3,27.6029139,-4.3387018,Im,17.474,0.157,16.813,0.334,12.523,,9.099,,,,,,,,0000,0,nnnn,213.0,1776.0,1026.0,1937.0,BBUU,,2M,0.6610000000000014,4.289999999999999,nnnn,1.0
J015023.15-042113.8,27.5964952,-4.3538427,Im,17.58,0.171,16.5,0.247,12.496,,8.702,,,,,,,,0000,0,nnnn,-756.0,1697.0,-335.0,1826.0,BBUU,,2M,1.0799999999999983,4.004,nnnn,1.0
J015014.32-042046.1,27.5596952,-4.3461605,Im,16.67,0.09,16.114,0.208,11.94,,8.872,,,,,,,,0000,0,0nnn,577.0,811.0,704.0,893.0,ABUU,,2M,0.5560000000000009,4.174000000000001,nnnn,0.99
J015012.63-042102.0,27.5526549,-4.3505813,Im,17.155,0.13,16.393,0.245,12.182,,8.97,,,,,,,,0000,0,nnnn,2325.0,1267.0,1393.0,1356.0,BBUU,,2M,0.7620000000000005,4.211,nnnn,1.0
J015010.64-042113.0,27.5443568,-4.3536218,Im,17.55,0.18,16.66,0.333,12.205,,9.156,,,,,,,,0000,0,nnnn,-655.0,1994.0,-96.0,2235.0,BBUU,,2M,0.8900000000000006,4.455,nnnn,1.0
J015009.68-042100.3,27.5403607,-4.3500995,Im,17.615,0.205,16.534,,12.313,,8.323,,,,,,,,0000,0,nnnn,-1479.0,2028.0,858.0,2217.0,BUUU,,2M,1.0809999999999995,4.220999999999998,nnnn,1.0
J015018.27-042022.9,27.576157,-4.3397184,Im,17.628,0.194,16.646,,12.006,,9.044,,,,,,,,0000,0,nnnn,-790.0,2243.0,-392.0,2421.0,BUUU,,2M,0.9819999999999993,4.640000000000001,nnnn,1.0
J015022.02-041936.4,27.591773,-4.3267902,Im,17.55,0.184,16.8,0.337,12.588,,8.894,,,,,,,,0000,0,nnnn,669.0,1920.0,1840.0,2104.0,BBUU,,2M,0.75,4.2120000000000015,nnnn,0.97
J015015.97-041915.7,27.5665677,-4.3210412,Im,17.236,0.143,16.657,,12.462,,8.854,,,,,,,,0000,0,nnnn,-295.0,1627.0,1800.0,1764.0,BUUU,,2M,0.5790000000000006,4.195,nnnn,0.85
J015005.44-041943.5,27.5227017,-4.3287598,Im,17.37,0.165,16.518,,12.323,,8.767,,,,,,,,0000,0,nnnn,-2234.0,1524.0,-1528.0,1576.0,BUUU,,2M,0.8520000000000003,4.195,nnnn,1.0
J015010.30-042015.5,27.5429575,-4.3376641,Im,16.267,0.071,15.738,0.139,11.697,0.253,8.997,,,,,,,,0000,0,0nnn,266.0,587.0,352.0,635.0,ABBU,,2M,0.5289999999999999,4.041,nnnn,0.89
J015011.12-041954.0,27.5463449,-4.3316805,Im,17.385,0.164,16.766,0.358,12.536,,8.398,,,,,,,,0000,0,nnnn,2085.0,1622.0,-1449.0,1730.0,BCUU,,2M,0.6190000000000033,4.229999999999999,nnnn,1.0
J015016.00-041845.2,27.5667076,-4.3125644,Im,17.47,0.174,16.902,0.393,12.304,,8.471,,,,,,,,0000,0,nnnn,-1218.0,2200.0,-517.0,2277.0,BCUU,,2M,0.5679999999999978,4.598000000000001,nnnn,1.0
J014956.77-041857.6,27.4865568,-4.3160011,Im,17.336,0.153,16.673,,12.475,,8.514,,,,,,,,0000,0,nnnn,466.0,1648.0,-294.0,1736.0,BUUU,,2M,0.6630000000000003,4.197999999999999,nnnn,1.0
J014959.52-041935.0,27.4980067,-4.32639,Im,17.785,0.219,17.222,,12.411,,8.664,,,,,,,,0000,0,nnnn,-2339.0,2272.0,-384.0,2421.0,BUUU,,2M,0.5629999999999988,4.811000000000002,nnnn,1.0
J014959.52-041922.7,27.4980081,-4.3229856,Im,17.054,0.145,16.371,,11.784,,8.281,,,,,,,,0000,0,nnnn,-1037.0,1618.0,776.0,1602.0,BUUU,,2M,0.6829999999999998,4.586999999999998,nnnn,1.0
J014956.14-041908.7,27.4839261,-4.3190899,Im,17.629,0.219,16.664,0.365,12.225,,8.959,,,,,,,,0000,0,nnnn,-262.0,2150.0,1828.0,2478.0,BCUU,,2M,0.9649999999999999,4.439000000000002,nnnn,1.0
J014959.92-041946.2,27.4996976,-4.3295141,Im,17.546,0.181,16.676,,12.523,,8.404,,,,,,,,0000,0,nnnn,-15.0,2005.0,828.0,2097.0,BUUU,,2M,0.870000000000001,4.152999999999999,nnnn,1.0
J014950.60-041815.3,27.460845,-4.3042638,Im,17.742,0.208,16.7,,12.541,0.529,9.127,,,,,,,,0000,0,nnnn,-6494.0,1885.0,1824.0,2001.0,BUCU,,2M,1.0420000000000016,4.158999999999999,nnnn,1.0
J015002.28-041908.2,27.5095077,-4.3189519,Im,17.576,0.185,16.562,,11.942,,8.777,,,,,,,,0000,0,nnnn,-1305.0,2040.0,-526.0,2185.0,BUUU,,2M,1.0139999999999993,4.620000000000001,nnnn,1.0
J015002.15-041844.3,27.5089695,-4.3123126,Im,17.664,0.216,16.994,0.49,12.55,,8.748,,,,,,,,0000,0,nnnn,3752.0,2268.0,1102.0,2416.0,BCUU,,2M,0.6700000000000017,4.443999999999999,nnnn,1.0
J015003.83-041916.7,27.515999,-4.3213213,Im,17.068,0.124,16.529,0.285,12.095,,9.009,,,,,,,,0000,0,nnnn,-956.0,1243.0,1213.0,1310.0,BBUU,,2M,0.5390000000000015,4.433999999999999,nnnn,1.0
J015009.97-041759.2,27.5415823,-4.2997898,Im,17.134,0.131,16.319,0.236,12.254,,8.836,,,,,,,,0000,0,nnnn,688.0,1445.0,638.0,1554.0,BBUU,,2M,0.8150000000000013,4.0649999999999995,nnnn,0.98
J015006.60-041716.1,27.527519,-4.287813,Im,17.358,0.161,16.723,0.366,12.178,,9.073,,,,,,,,0000,0,nnnn,630.0,1903.0,-2769.0,1992.0,BCUU,,2M,0.6350000000000016,4.544999999999998,nnnn,0.99
J015007.59-041722.9,27.5316532,-4.2897011,Im,17.66,0.206,16.865,,12.456,,9.022,,,,,,,,0000,0,nnnn,-714.0,2941.0,650.0,3014.0,BUUU,,2M,0.7950000000000017,4.408999999999999,nnnn,1.0
J015005.84-041821.0,27.5243648,-4.30584,Im,17.588,0.204,16.803,,12.083,,8.351,,,,,,,,0000,0,nnnn,-492.0,2462.0,-354.0,2598.0,BUUU,,2M,0.7850000000000001,4.720000000000001,nnnn,1.0
J015006.85-041634.8,27.5285418,-4.2763544,Im,17.613,0.209,17.016,0.453,12.216,0.406,8.995,,,,,,,,0000,0,nnnn,5774.0,2070.0,3809.0,2221.0,BCCU,,2M,0.5970000000000013,4.799999999999999,nnnn,1.0
J014947.41-041740.5,27.4475607,-4.2945916,Im,17.254,0.143,16.423,0.25,12.323,,8.731,,,,,,,,0000,0,nnnn,-293.0,1372.0,-1006.0,1474.0,BBUU,,2M,0.8310000000000031,4.099999999999998,nnnn,1.0
J014941.23-041623.4,27.4218241,-4.2731693,Im,17.674,0.213,17.018,,12.532,,8.977,,,,,,,,0000,0,nnnn,-936.0,2303.0,634.0,2410.0,BUUU,,2M,0.6559999999999988,4.486000000000001,nnnn,1.0
J014938.55-041611.4,27.4106447,-4.2698513,Im,17.372,0.152,16.517,,12.172,,8.795,,,,,,,,0000,0,nnnn,1639.0,1837.0,1707.0,1846.0,BUUU,,2M,0.8550000000000004,4.344999999999999,nnnn,0.99
J014948.59-041621.5,27.4524952,-4.2726404,Im,17.561,0.195,16.958,,12.105,,9.129,,,,,,,,0000,0,nnnn,664.0,2149.0,-538.0,2291.0,BUUU,,2M,0.6030000000000015,4.852999999999998,nnnn,1.0
J014950.29-041549.0,27.4595765,-4.2636128,Im,17.511,0.17,16.887,0.378,12.567,,8.82,,,,,,,,0000,0,nnnn,682.0,1857.0,2252.0,1962.0,BCUU,,2M,0.6239999999999988,4.32,nnnn,1.0
J014953.26-041628.5,27.471929,-4.2745986,Im,17.653,0.203,16.679,,12.142,,9.07,,,,,,,,0000,0,nnnn,1267.0,2080.0,2110.0,2192.0,BUUU,,2M,0.9740000000000002,4.536999999999999,nnnn,1.0
J014956.05-041442.1,27.4835539,-4.2450538,Im,17.759,0.219,17.198,0.503,12.537,,8.471,,,,,,,,0000,0,nnnn,150.0,2566.0,4250.0,2720.0,BCUU,,2M,0.5609999999999999,4.661,nnnn,1.0
J014956.85-041536.1,27.4869072,-4.2600391,Im,16.777,0.096,16.248,0.237,12.091,,8.98,,,,,,,,0000,0,nnnn,-2176.0,883.0,-708.0,943.0,ABUU,,2M,0.5289999999999999,4.157000000000002,nnnn,1.0
J014956.96-041451.8,27.4873731,-4.2477469,Im,17.053,0.119,16.302,0.223,12.181,,8.942,,,,,,,,0000,0,nnnn,304.0,1158.0,-1117.0,1185.0,BBUU,,2M,0.7510000000000012,4.121,nnnn,0.97
J014958.34-041549.0,27.49312,-4.2636271,Im,17.554,0.185,16.967,0.412,12.504,,8.696,,,,,,,,0000,0,nnnn,848.0,2005.0,-106.0,2102.0,BCUU,,2M,0.5869999999999997,4.462999999999999,nnnn,1.0
J014947.07-041615.7,27.446141,-4.2710288,Im,17.305,0.144,16.606,0.298,12.291,,8.573,,,,,,,,0000,0,nnnn,206.0,1543.0,658.0,1627.0,BBUU,,2M,0.6989999999999981,4.315000000000001,nnnn,1.0
J014945.46-041553.9,27.4394555,-4.2649933,Im,17.709,0.207,16.751,0.336,12.332,,8.96,,,,,,,,0000,0,nnnn,-2048.0,2160.0,-445.0,2279.0,BBUU,,2M,0.9579999999999984,4.4190000000000005,nnnn,1.0
J014947.09-041542.4,27.4462217,-4.2618036,Im,17.207,0.134,16.546,,12.417,,8.815,,,,,,,,0000,0,nnnn,-291.0,1654.0,-157.0,1754.0,BUUU,,2M,0.6610000000000014,4.129,nnnn,1.0
J014951.53-041523.7,27.464748,-4.2566093,Im,17.588,0.182,16.784,0.362,12.345,,8.554,,,,,,,,0000,0,nnnn,2756.0,1869.0,-2705.0,1977.0,BCUU,,2M,0.804000000000002,4.438999999999998,nnnn,1.0
J014951.47-041421.6,27.4644783,-4.2393434,Im,17.541,0.185,16.873,0.384,12.502,,8.97,,,,,,,,0000,0,nnnn,832.0,1986.0,369.0,2017.0,BCUU,,2M,0.6679999999999993,4.371,nnnn,1.0
J014950.97-041325.6,27.462396,-4.2237831,Im,17.547,0.188,16.72,,12.529,,9.033,,,,,,,,0000,0,nnnn,1380.0,2069.0,-628.0,2167.0,BUUU,,2M,0.8270000000000017,4.190999999999999,nnnn,0.96
J014939.19-041515.2,27.4133246,-4.2542287,Im,17.623,0.195,16.461,,12.242,,9.063,,,,,,,,0000,0,nnnn,-1099.0,2143.0,-2423.0,2230.0,BUUU,,2M,1.1620000000000026,4.218999999999998,nnnn,0.96
J014939.81-041511.1,27.4158773,-4.2530984,Im,17.717,0.21,16.889,0.406,12.388,,8.966,,,,,,,,0000,0,nnnn,-1392.0,2228.0,-601.0,2338.0,BCUU,,2M,0.8279999999999994,4.5009999999999994,nnnn,1.0
J014938.64-041525.1,27.4110351,-4.2569736,Im,17.608,0.196,16.364,0.237,12.042,,9.048,,,,,,,,0000,0,nnnn,474.0,1998.0,-609.0,2049.0,BBUU,,2M,1.2439999999999998,4.322000000000001,nnnn,1.0
J014928.32-041453.0,27.3680136,-4.2480636,Im,17.4,0.165,16.663,,12.531,,8.856,,,,,,,,0000,0,nnnn,683.0,1753.0,-2953.0,1813.0,BUUU,,2M,0.7369999999999983,4.132,nnnn,1.0
