AllWISE,RA,Dec,W2W3,status
J030400.39+005112.9,46.0016515,0.8535984,5.863999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030233.64+014920.0,45.6402001,1.8222466,5.839,UNKNOWN - POTENTIAL DISCOVERY
J030049.69+012144.3,45.2070701,1.3623125,5.797999999999998,UNKNOWN - POTENTIAL DISCOVERY
J030408.64+011911.4,46.0360208,1.3198529,5.795,UNKNOWN - POTENTIAL DISCOVERY
J030408.09+005720.7,46.0337431,0.9557614,5.793000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030059.96+013754.6,45.2498499,1.6318519,5.714,UNKNOWN - POTENTIAL DISCOVERY
J025608.74+011316.0,44.0364295,1.2211184,5.713000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030428.11+011619.6,46.1171542,1.2721344,5.702000000000002,UNKNOWN - POTENTIAL DISCOVERY
J030433.70+011126.0,46.1404338,1.1905584,5.695999999999998,UNKNOWN - POTENTIAL DISCOVERY
J030455.86+011124.1,46.2327811,1.1900294,5.693999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030325.52+012536.0,45.8563555,1.42667,5.689,UNKNOWN - POTENTIAL DISCOVERY
J030453.41+011106.2,46.2225477,1.1850677,5.686999999999999,UNKNOWN - POTENTIAL DISCOVERY
J025819.81+014301.8,44.5825765,1.7171677,5.686,UNKNOWN - POTENTIAL DISCOVERY
J030142.78+015052.3,45.4282875,1.8478744,5.6850000000000005,UNKNOWN - POTENTIAL DISCOVERY
J030327.54+011612.3,45.864761,1.2700848,5.674000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030226.00+003747.9,45.6083716,0.6299853,5.672000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030339.81+012211.1,45.9159057,1.3697558,5.667999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030144.98+005722.3,45.4374197,0.9561958,5.664,UNKNOWN - POTENTIAL DISCOVERY
J030205.51+013139.9,45.5229865,1.5277574,5.660000000000002,UNKNOWN - POTENTIAL DISCOVERY
J030053.91+020303.2,45.2246423,2.0509047,5.660000000000002,UNKNOWN - POTENTIAL DISCOVERY
J030359.08+010211.4,45.996199,1.0365217,5.659999999999998,UNKNOWN - POTENTIAL DISCOVERY
J030147.56+005619.3,45.4481854,0.9387177,5.659000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030152.76+010031.8,45.4698563,1.0088405,5.654000000000002,UNKNOWN - POTENTIAL DISCOVERY
J030331.86+012032.6,45.8827548,1.3424081,5.649999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030117.81+015548.5,45.324249,1.9301564,5.645000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030247.60+014113.1,45.6983656,1.6869961,5.6430000000000025,UNKNOWN - POTENTIAL DISCOVERY
J025923.60+014346.9,44.8483727,1.7296954,5.641000000000002,UNKNOWN - POTENTIAL DISCOVERY
J030154.33+014441.0,45.4763772,1.7447357,5.639999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030030.71+014855.3,45.1279985,1.8153781,5.636000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030114.39+013939.3,45.3099673,1.6609308,5.635999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030047.70+020930.9,45.1987636,2.1585927,5.634000000000002,UNKNOWN - POTENTIAL DISCOVERY
J030204.30+014200.3,45.5179169,1.7001083,5.6320000000000014,UNKNOWN - POTENTIAL DISCOVERY
J030117.65+013257.3,45.3235677,1.5492666,5.625999999999998,UNKNOWN - POTENTIAL DISCOVERY
J030242.39+014346.5,45.676639,1.7295986,5.622,UNKNOWN - POTENTIAL DISCOVERY
J030419.30+012557.5,46.080433,1.4326592,5.618,UNKNOWN - POTENTIAL DISCOVERY
J030249.45+004233.4,45.7060449,0.7092874,5.616000000000001,UNKNOWN - POTENTIAL DISCOVERY
J025931.43+012119.9,44.8809924,1.3555492,5.613000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030251.21+014058.3,45.7134148,1.6828623,5.6080000000000005,UNKNOWN - POTENTIAL DISCOVERY
J030221.22+011606.4,45.5884548,1.2684642,5.605999999999998,UNKNOWN - POTENTIAL DISCOVERY
J030110.38+014916.4,45.2932903,1.8212291,5.605,UNKNOWN - POTENTIAL DISCOVERY
J030328.30+012426.2,45.8679481,1.4072803,5.602,UNKNOWN - POTENTIAL DISCOVERY
J030129.05+014942.5,45.3710598,1.8284996,5.602,UNKNOWN - POTENTIAL DISCOVERY
J030213.07+010312.2,45.5544913,1.0534157,5.598000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030213.17+003005.0,45.5548768,0.501391,5.597999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030411.69+010633.5,46.0487291,1.1093191,5.597000000000001,UNKNOWN - POTENTIAL DISCOVERY
J030352.29+011019.5,45.9679104,1.1721102,5.596,UNKNOWN - POTENTIAL DISCOVERY
J030232.66+005249.5,45.6361107,0.8804387,5.593999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030307.77+013036.3,45.7823941,1.510097,5.59,UNKNOWN - POTENTIAL DISCOVERY
J030242.97+013134.6,45.6790667,1.5262821,5.587999999999999,UNKNOWN - POTENTIAL DISCOVERY
J030245.70+014535.1,45.6904567,1.7597697,5.587999999999999,UNKNOWN - POTENTIAL DISCOVERY
