AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M,W1W2,W2W3
J030001.28+000022.6,45.0053734,0.0062897,Im,17.775,0.183,17.214,0.431,12.866,,9.007,,,,,,,,0000,0,nnnn,-3711.0,1531.0,1233.0,1600.0,BCUU,,2M,0.5609999999999999,4.347999999999999
J030000.04+000144.1,45.0001924,0.0289384,Im,17.617,0.171,16.996,0.363,12.614,,9.382,,,,,,,,0000,0,nnnn,-696.0,1396.0,-334.0,1460.0,BCUU,,2M,0.6210000000000022,4.381999999999998
J030009.59+000221.6,45.0399736,0.0393405,Im,17.723,0.18,16.865,0.324,11.96,,9.201,,,,,,,,0000,0,nnnn,-185.0,1486.0,-2225.0,1568.0,BBUU,,2M,0.8580000000000005,4.904999999999998
J030008.48+000223.6,45.03534,0.0398958,Im,17.474,0.14,16.948,0.337,12.839,,9.36,,,,,,,,0000,0,nnnn,-422.0,1146.0,-1107.0,1192.0,BBUU,,2M,0.5259999999999998,4.109
J030001.59+000213.5,45.006658,0.0371022,Im,17.553,0.154,17.005,,12.79,,9.141,,,,,,,,0000,0,nnnn,1414.0,1374.0,-910.0,1452.0,BUUU,,2M,0.5480000000000018,4.215
J030003.86+000231.0,45.0160937,0.0419646,Im,17.868,0.208,16.681,,12.426,,9.254,,,,,,,,0000,0,nnnn,557.0,1896.0,1962.0,1984.0,BUUU,,2M,1.1869999999999976,4.255000000000001
J025954.99+000229.5,44.9791594,0.0415515,Im,17.956,0.213,17.419,0.518,12.963,,9.311,,,,,,,,0000,0,nnnn,-114.0,1956.0,1014.0,2072.0,BCUU,,2M,0.536999999999999,4.456000000000001
J025958.08+000327.6,44.9920043,0.0576755,Im,17.22,0.117,16.643,0.254,12.274,,8.812,,,,,,,,0000,0,nnnn,510.0,897.0,329.0,968.0,BBUU,,2M,0.5769999999999982,4.3690000000000015
J030011.64+000314.4,45.0485278,0.0540261,Im,17.32,0.124,16.71,,12.43,,9.34,,,,,,,,0000,0,nnnn,-388.0,990.0,1032.0,1065.0,BUUU,,2M,0.6099999999999994,4.280000000000001
J030012.10+000328.6,45.0504419,0.0579715,Im,17.911,0.203,16.947,,12.652,0.474,8.923,,,,,,,,0000,0,nnnn,-927.0,1739.0,-1164.0,1849.0,BUCU,,2M,0.9640000000000022,4.295
J030009.97+000420.9,45.0415668,0.072497,Im,17.947,0.219,17.089,,12.353,,9.238,,,,,,,,0000,0,nnnn,-1139.0,1823.0,-1418.0,1924.0,BUUU,,2M,0.8580000000000005,4.735999999999999
J030016.63+000334.8,45.0693038,0.059676,Im,17.916,0.205,16.843,,12.743,,8.969,,,,,,,,0000,0,nnnn,534.0,1745.0,136.0,1877.0,BUUU,,2M,1.0730000000000004,4.1
J030017.74+000354.5,45.073958,0.0651545,Im,17.754,0.191,17.198,0.476,12.847,,9.382,,,,,,,,0000,0,nnnn,3130.0,1436.0,2726.0,1542.0,BCUU,,2M,0.5560000000000009,4.351000000000001
J030014.59+000409.7,45.0608267,0.069377,Im,17.708,0.167,17.079,,12.585,,9.153,,,,,,,,0000,0,nnnn,949.0,1397.0,-2053.0,1505.0,BUUU,,2M,0.6289999999999978,4.494
J030013.18+000444.9,45.0549294,0.0791511,Im,17.222,0.112,16.397,0.205,12.112,,9.239,,,,,,,,0000,0,nnnn,-365.0,851.0,484.0,906.0,BBUU,,2M,0.8250000000000028,4.284999999999998
J030015.75+000528.4,45.0656543,0.0912288,Im,17.875,0.206,16.929,0.366,12.804,,9.217,,,,,,,,0000,0,nnnn,542.0,1864.0,798.0,1975.0,BCUU,,2M,0.9460000000000016,4.124999999999998
J030004.29+000348.6,45.0179027,0.0635031,Im,17.435,0.139,16.52,0.239,11.985,,9.089,,,,,,,,0000,0,nnnn,-1289.0,965.0,1567.0,1035.0,BBUU,,2M,0.9149999999999991,4.535
J030003.28+000353.4,45.0136906,0.0648501,Im,17.949,0.205,16.967,,12.845,,9.366,,,,,,,,0000,0,nnnn,-1211.0,1977.0,270.0,2073.0,BUUU,,2M,0.9820000000000028,4.121999999999998
J030003.60+000433.5,45.0150095,0.0759854,Im,17.916,0.211,16.825,,12.817,,9.107,,,,,,,,0000,0,nnnn,1620.0,1791.0,826.0,1917.0,BUUU,,2M,1.091000000000001,4.007999999999999
J030006.54+000514.3,45.0272861,0.0873266,Im,17.869,0.199,17.003,,12.722,,8.921,,,,,,,,0000,0,nnnn,-1302.0,1701.0,3621.0,1789.0,BUUU,,2M,0.8659999999999997,4.281000000000001
J030012.18+000459.3,45.0507745,0.0831479,Im,17.749,0.178,16.93,,12.791,,9.31,,,,,,,,0000,0,nnnn,576.0,1481.0,-325.0,1585.0,BUUU,,2M,0.8189999999999991,4.138999999999999
J030012.88+000547.7,45.0536871,0.0965874,Im,17.873,0.2,17.074,,12.879,,9.19,,,,,,,,0000,0,nnnn,-932.0,1837.0,1298.0,1931.0,BUUU,,2M,0.7989999999999995,4.195000000000002
J030009.18+000532.2,45.0382559,0.0922907,Im,17.838,0.197,17.138,0.442,12.68,,9.121,,,,,,,,0000,0,nnnn,-636.0,1750.0,-650.0,1865.0,BCUU,,2M,0.6999999999999993,4.458000000000002
J030008.76+000550.7,45.0365292,0.0974213,Im,17.756,0.185,17.147,,12.398,,9.251,,,,,,,,0000,0,nnnn,-3123.0,1445.0,4814.0,1527.0,BUUU,,2M,0.6090000000000018,4.748999999999999
J025952.02+000310.4,44.9667615,0.052913,Im,17.607,0.161,16.686,0.277,12.53,,9.2,,,,,,,,0000,0,nnnn,-596.0,1288.0,347.0,1340.0,BBUU,,2M,0.9209999999999994,4.156000000000001
J025950.24+000417.3,44.9593719,0.0714747,Im,17.789,0.194,17.116,0.409,12.79,,9.437,,,,,,,,0000,0,nnnn,-6469.0,1470.0,-716.0,1505.0,BCUU,,2M,0.6730000000000018,4.3260000000000005
J025953.06+000418.4,44.9711022,0.0717975,Im,17.882,0.211,17.068,,12.809,,9.384,,,,,,,,0000,0,nnnn,-20.0,1857.0,-468.0,1919.0,BUUU,,2M,0.8140000000000001,4.259000000000002
J025953.70+000447.2,44.9737893,0.0797833,Im,17.41,0.142,16.814,,12.596,,9.213,,,,,,,,0000,0,nnnn,-559.0,1025.0,298.0,1089.0,BUUU,,2M,0.5960000000000001,4.218
J025953.82+000510.7,44.9742579,0.0863257,Im,17.54,0.154,16.858,,12.38,,9.228,,,,,,,,0000,0,nnnn,410.0,1249.0,1112.0,1322.0,BUUU,,2M,0.6819999999999986,4.478
J025946.23+000443.8,44.942659,0.0788488,Im,17.513,0.153,16.859,0.325,12.785,,9.153,,,,,,,,0000,0,nnnn,-1142.0,1175.0,192.0,1248.0,BBUU,,2M,0.6539999999999999,4.074000000000002
J025945.56+000514.2,44.9398525,0.0872998,Im,17.001,0.095,16.1,0.158,12.071,,9.027,,,,,,,,0000,0,nnnn,-152.0,656.0,262.0,705.0,ABUU,,2M,0.9009999999999998,4.029000000000002
J025947.61+000458.6,44.9483926,0.0829544,Im,17.898,0.209,17.039,,12.761,,9.346,,,,,,,,0000,0,nnnn,1255.0,1922.0,-1160.0,2033.0,BUUU,,2M,0.8589999999999982,4.278000000000002
J025953.76+000527.0,44.9740256,0.0908532,Im,17.687,0.171,16.966,,12.835,,8.731,,,,,,,,0000,0,nnnn,-66.0,1472.0,824.0,1547.0,BUUU,,2M,0.7210000000000001,4.131
J025949.85+000532.6,44.9577336,0.0924145,Im,17.944,0.215,17.407,,12.743,,9.269,,,,,,,,0000,0,nnnn,-28.0,1823.0,-2.0,1906.0,BUUU,,2M,0.536999999999999,4.664
J025947.02+000519.2,44.9459414,0.0886684,Im,16.97,0.095,16.205,0.182,12.186,,8.937,,,,,,,,0000,0,nnnn,354.0,656.0,422.0,699.0,ABUU,,2M,0.7650000000000006,4.018999999999998
J025945.53+000540.9,44.9397198,0.0946985,Im,17.597,0.158,16.912,,12.152,,9.287,,,,,,,,0000,0,nnnn,3454.0,1368.0,124.0,1363.0,BUUU,,2M,0.6850000000000023,4.76
J030004.43+000658.6,45.0184726,0.1162886,Im,17.358,0.131,16.532,0.256,12.146,,9.106,,,,,,,,0000,0,nnnn,925.0,996.0,-491.0,1047.0,BBUU,,2M,0.8260000000000005,4.385999999999999
J025956.00+000608.5,44.9833337,0.102384,Im,17.459,0.148,16.863,0.321,12.627,,9.357,,,,,,,,0000,0,nnnn,-1034.0,1115.0,292.0,1178.0,BBUU,,2M,0.5960000000000001,4.235999999999999
J025958.97+000634.8,44.9957418,0.1096812,Im,17.383,0.138,16.704,0.31,12.474,,8.992,,,,,,,,0000,0,nnnn,558.0,1057.0,-821.0,1137.0,BBUU,,2M,0.6789999999999985,4.23
