AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J025959.07+000020.3,44.9961431,0.0056546,Im,15.782,0.042,15.86,0.137,12.882,,8.746,,16.376,0.097,15.77,0.14,15.258,0.141,0000,0,0nnn,-10,243,165,251,ABUU,0.452,2M
J030001.28+000022.6,45.0053734,0.0062897,Im,17.775,0.183,17.214,0.431,12.866,,9.007,,,,,,,,0000,0,nnnn,-3711,1531,1233,1600,BCUU,,2M
J025959.32+000037.3,44.9971668,0.0103818,Im,16.641,0.073,16.503,0.235,12.745,,8.983,,,,,,,,0000,0,nnnn,383,536,-358,560,ABUU,,2M
J030004.10+000104.6,45.0171151,0.0179664,Im,16.733,0.086,15.955,0.147,12.819,,9.121,,,,,,,,0000,0,nnnn,302,586,-240,624,ABUU,,2M
J030003.39+000110.8,45.014155,0.0196675,Im,17.143,0.115,15.53,0.104,12.151,,9.065,,,,,,,,0000,0,nnnn,-809,644,640,697,BAUU,,2M
J030001.16+000111.8,45.0048642,0.0199593,Im,11.687,0.022,11.724,0.021,11.541,0.159,8.494,,12.529,0.024,11.954,0.03,11.874,0.029,0000,1,11nn,9,30,26,30,AABU,0.552,2M
J025957.30+000045.8,44.9887837,0.0127401,Im,17.056,0.101,16.662,,12.576,,8.598,,,,,,,,0000,0,nnnn,-131,850,-363,867,AUUU,,2M
J025959.45+000104.1,44.9977117,0.017807,Im,16.94,0.093,16.454,0.233,12.272,,9.178,,,,,,,,0000,0,nnnn,-170,675,-346,713,ABUU,,2M
J025956.19+000107.3,44.9841501,0.01872,Im,17.651,0.177,17.287,0.462,12.697,,8.543,,,,,,,,0000,0,nnnn,-1927,1503,-1972,1599,BCUU,,2M
J030002.23+000135.9,45.0093198,0.0266406,Im,17.398,0.134,16.252,0.183,12.844,,9.239,,,,,,,,0000,0,nnnn,-218,1010,-625,1069,BBUU,,2M
J030000.04+000144.1,45.0001924,0.0289384,Im,17.617,0.171,16.996,0.363,12.614,,9.382,,,,,,,,0000,0,nnnn,-696,1396,-334,1460,BCUU,,2M
J030000.68+000205.0,45.0028338,0.0347476,Im,16.78,0.082,16.843,,12.878,,9.273,,,,,,,,0000,0,nnnn,-1418,590,495,618,AUUU,,2M
J030006.61+000144.8,45.0275526,0.0291327,Im,16.995,0.103,16.9,,12.714,,8.511,,,,,,,,0000,0,nnnn,-574,812,196,845,AUUU,,2M
J030007.73+000204.6,45.0322295,0.0346332,Im,16.897,0.094,15.944,0.145,12.587,,9.292,,,,,,,,0000,0,nnnn,50,639,-327,674,ABUU,,2M
J030009.59+000221.6,45.0399736,0.0393405,Im,17.723,0.18,16.865,0.324,11.96,,9.201,,,,,,,,0000,0,nnnn,-185,1486,-2225,1568,BBUU,,2M
J030008.48+000223.6,45.03534,0.0398958,Im,17.474,0.14,16.948,0.337,12.839,,9.36,,,,,,,,0000,0,nnnn,-422,1146,-1107,1192,BBUU,,2M
J030007.48+000226.0,45.0311931,0.0405766,Im,17.136,0.11,17.078,0.38,12.778,,8.933,,,,,,,,0000,0,nnnn,1423,851,724,894,BCUU,,2M
J030003.14+000149.2,45.0130955,0.0303361,Im,15.688,0.043,15.611,0.111,12.009,0.273,8.774,,,,,,,,0000,0,0nnn,-151,245,-120,258,ABBU,,2M
J030001.59+000213.5,45.006658,0.0371022,Im,17.553,0.154,17.005,,12.79,,9.141,,,,,,,,0000,0,nnnn,1414,1374,-910,1452,BUUU,,2M
J030002.75+000226.9,45.0114644,0.0408292,Im,17.146,0.113,17.118,0.41,12.801,,8.62,,,,,,,,0000,0,nnnn,-50,895,853,959,BCUU,,2M
J030003.86+000231.0,45.0160937,0.0419646,Im,17.868,0.208,16.681,,12.426,,9.254,,,,,,,,0000,0,nnnn,557,1896,1962,1984,BUUU,,2M
J030005.73+000232.2,45.0239038,0.0422955,Im,16.943,0.097,16.861,0.319,12.249,,9.176,,,,,,,,0000,0,nnnn,71,730,-42,754,ABUU,,2M
J030004.22+000259.2,45.0176176,0.0497779,Im,17.705,0.172,17.25,,12.699,,9.178,,,,,,,,0000,0,nnnn,560,1753,645,1822,BUUU,,2M
J025955.27+000116.3,44.9803052,0.0212218,Im,16.903,0.093,15.893,0.135,12.136,,8.763,,,,,,,,0000,0,nnnn,241,610,-762,654,ABUU,,2M
J025955.78+000121.4,44.9824255,0.0226212,Im,17.295,0.122,16.877,0.322,12.773,,8.635,,,,,,,,0000,0,nnnn,513,986,-2032,1010,BBUU,,2M
J025954.09+000135.6,44.9753896,0.0265789,Im,16.272,0.057,16.161,0.17,12.65,,8.937,,,,,,,,0000,0,0nnn,433,373,-242,394,ABUU,,2M
J025955.47+000203.4,44.9811361,0.034279,Im,16.936,0.092,16.666,0.265,12.641,,9.182,,,,,,,,0000,0,nnnn,-280,673,-1187,702,ABUU,,2M
J025958.03+000205.9,44.9918015,0.0349943,Im,16.602,0.077,16.508,0.23,12.869,0.507,9.305,,,,,,,,0000,0,0nnn,-440,532,163,566,ABCU,,2M
J025958.79+000217.4,44.9949878,0.0381914,Im,15.852,0.046,15.547,0.101,12.791,,9.318,,16.746,0.134,15.814,0.14,16.125,0.324,0000,0,1nnn,-128,250,-144,264,AAUU,0.314,2M
J025958.05+000227.4,44.9918804,0.0409574,Im,15.404,0.037,15.149,0.076,11.92,0.217,9.053,,,,,,,,0000,0,0nnn,40,173,-103,183,AABU,,2M
J025952.10+000153.8,44.9671249,0.0316121,Im,16.735,0.078,16.744,0.288,12.394,,9.047,,,,,,,,0000,0,0nnn,192,574,-776,604,ABUU,,2M
J025953.21+000217.8,44.9717194,0.0382793,Im,17.01,0.1,16.87,,12.924,,9.266,,,,,,,,0000,0,nnnn,-328,772,-44,805,AUUU,,2M
J025951.37+000214.9,44.9640679,0.0374887,Im,16.459,0.066,16.33,0.187,12.734,,9.017,,,,,,,,0000,0,1nnn,-66,427,-520,451,ABUU,,2M
J025952.87+000233.9,44.9703211,0.0427506,Im,16.835,0.086,16.285,0.192,12.335,,8.751,,,,,,,,0000,0,nnnn,-540,608,766,634,ABUU,,2M
J025951.33+000236.8,44.9638962,0.0435673,Im,15.911,0.046,16.004,0.154,12.718,,9.364,,16.476,0.113,16.057,0.175,15.564,,0000,0,0nnn,-178,259,-75,273,ABUU,0.177,2M
J025954.99+000229.5,44.9791594,0.0415515,Im,17.956,0.213,17.419,0.518,12.963,,9.311,,,,,,,,0000,0,nnnn,-114,1956,1014,2072,BCUU,,2M
J025954.16+000230.4,44.9756759,0.0417813,Im,17.036,0.098,16.623,0.254,12.768,,9.036,,,,,,,,0000,0,nnnn,169,720,-1645,758,ABUU,,2M
J025955.85+000241.0,44.982711,0.0447479,Im,17.648,0.164,16.889,,12.914,,9.023,,,,,,,,0000,0,nnnn,-1012,1541,129,1660,BUUU,,2M
J025956.09+000300.1,44.9837427,0.0500376,Im,16.487,0.067,16.471,0.215,12.778,,9.314,,,,,,,,0000,0,0nnn,8,455,-331,469,ABUU,,2M
J025953.57+000241.9,44.9732369,0.0449894,Im,17.27,0.125,16.771,0.3,12.788,0.538,8.912,,,,,,,,0000,0,nnnn,973,905,-194,968,BBCU,,2M
J025953.69+000252.7,44.9737256,0.0479935,Im,16.481,0.068,15.857,0.134,12.777,,8.692,,,,,,,,0000,0,0nnn,-348,413,-530,442,ABUU,,2M
J025952.83+000256.6,44.9701347,0.0490726,Im,15.842,0.047,15.398,0.091,11.954,0.227,8.93,0.468,,,,,,,0000,0,0nnn,-362,248,-135,265,AABC,,2M
J030002.00+000240.8,45.0083501,0.0446877,Im,17.073,0.106,17.335,,12.891,,8.782,,,,,,,,0000,0,nnnn,-1174,793,1902,831,AUUU,,2M
J025959.40+000254.4,44.9975007,0.04846,Im,16.969,0.096,16.355,0.209,12.749,,9.275,,,,,,,,0000,0,nnnn,573,663,-272,704,ABUU,,2M
J030002.93+000253.8,45.0122412,0.0482872,Im,16.82,0.09,16.466,0.234,12.754,,9.217,,,,,,,,0000,0,nnnn,-481,644,1921,678,ABUU,,2M
J030001.86+000323.5,45.0077555,0.0565477,Im,17.695,0.178,17.34,0.519,12.465,,9.048,,,,,,,,0000,0,nnnn,363,1514,-131,1596,BCUU,,2M
J030000.76+000315.2,45.0031677,0.0542223,Im,16.625,0.077,16.547,0.255,12.792,,8.92,,,,,,,,0000,0,nnnn,696,545,-264,578,ABUU,,2M
J025958.08+000327.6,44.9920043,0.0576755,Im,17.22,0.117,16.643,0.254,12.274,,8.812,,,,,,,,0000,0,nnnn,510,897,329,968,BBUU,,2M
J025956.22+000311.4,44.9842827,0.0531833,Im,16.982,0.097,16.158,0.176,12.871,,9.307,,,,,,,,0000,0,nnnn,322,671,212,708,ABUU,,2M
J025956.13+000326.8,44.983914,0.0574718,Im,16.892,0.09,16.964,0.35,12.82,,9.422,,,,,,,,0000,0,nnnn,-126,651,57,691,ABUU,,2M
